layer,objective,n_seeds,mean_L_struct,sd_across_seeds
0,masked,3,0.02644556820911625,0.004997413918684708
0,causal,3,0.022042945270145612,0.000812509100889931
0,masked_minus_causal,3,0.004402622938970639,
4,masked,3,0.01932061412494237,0.00419553894546203
4,causal,3,0.022822574122253348,0.004663667048423817
4,masked_minus_causal,3,-0.0035019599973109793,
7,masked,3,0.020562099516561978,0.00394549539008253
7,causal,3,0.020721089437404753,0.0036975446659017392
7,masked_minus_causal,3,-0.0001589899208427753,
11,masked,3,0.017516358648528907,0.001462388130193519
11,causal,3,0.01127743318636591,0.0008471170612760788
11,masked_minus_causal,3,0.0062389254621629964,
14,masked,3,0.01548484621669457,0.0018785895344718543
14,causal,3,0.009287233570080636,0.0015145958782113154
14,masked_minus_causal,3,0.006197612646613934,
18,masked,3,0.0161763055569653,0.0014385568243335653
18,causal,3,0.009293047809969517,0.001339665325448021
18,masked_minus_causal,3,0.0068832577469957815,
22,masked,3,0.010331164014158054,0.0007120367180953738
22,causal,3,0.010227469093269114,0.0006494997841293022
22,masked_minus_causal,3,0.00010369492088893942,
26,masked,3,0.009433976658668021,0.001111264109277536
26,causal,3,0.011174374951915157,0.0007011213550129672
26,masked_minus_causal,3,-0.0017403982932471355,
29,masked,3,0.01121768725175586,0.00031198053384826725
29,causal,3,0.011596796371315487,0.000799481559523684
29,masked_minus_causal,3,-0.0003791091195596268,
