concept,concept_kind,feature_idx,threshold,val_f1,val_precision,val_recall,test_f1,test_precision,test_recall,n_domains
rsa_buried,rsa_buried,20,0.0,0.6807665824890137,0.5905711650848389,0.8034783601760864,0.6792633926522672,0.5948271420475038,0.791636977311082,53919
ss_helix,ss_helix,20,0.0,0.6425957083702087,0.48676055669784546,0.9451987743377686,0.6382129236609931,0.4845518402115857,0.9345901639344262,12213
class:c,class,0,0.0,0.6843317747116089,0.5201401114463806,1.0,0.6257682057975744,0.4553585562767136,1.0,522
rsa_exposed,rsa_exposed,21,0.0,0.5479983687400818,0.5411275029182434,0.555046021938324,0.5298400014602657,0.5132751016172273,0.5475097544181776,53619
ss_strand,ss_strand,17,0.0,0.43420344591140747,0.4036027789115906,0.46982499957084656,0.4283606036358639,0.39616955084580985,0.4662457503642545,12805
class:a,class,13,0.0,0.3981778919696808,0.2504088580608368,0.9714285731315613,0.3859592994682604,0.24023800669393827,0.9810126582278481,368
ss_turn,ss_turn,5,0.0,0.37640970945358276,0.43845421075820923,0.3297479748725891,0.378156118807191,0.4368147720715522,0.33338655596359573,25263
class:d,class,6,0.0,0.2867265045642853,0.1707857996225357,0.8928571343421936,0.33005175780981,0.2028612303290415,0.8848167539267016,331
ss_coil,ss_coil,24,0.0,0.2984769642353058,0.18661439418792725,0.7451338171958923,0.29897306789743283,0.18743164801884413,0.7383956564961383,26229
class:b,class,18,0.0,0.26936793327331543,0.15969988703727722,0.8598130941390991,0.1990518195483754,0.11405584477046853,0.78125,203
class:f,class,18,0.0,0.10046561062335968,0.05305466055870056,0.9444444179534912,0.10293642308361721,0.054424988168480834,0.9473684210526315,37
class:e,class,11,0.0,0.07849829643964767,0.04085257649421692,1.0,0.061554157456214925,0.03175438596491228,1.0,30
