variant,arm,causal,layer,rel_depth,probe_helix_f1,probe_helix_auroc,probe_strand_f1,probe_strand_auroc,probe_burial_f1,probe_burial_auroc,contact_p_at_L5,contact_n_proteins
linear,ckpt_mlm_s42_token,False,7,25%,0.594188376753507,0.6792871118484096,0.43699532511687206,0.7026225205780418,0.6567914124441254,0.7095844148632341,0.02812781603614599,150
linear,ckpt_clm_s42,True,7,25%,0.6212269449577853,0.7147295526568425,0.48589903820029345,0.7590522238725915,0.6701134848632654,0.7290968373406619,0.02561595199109903,150
linear,ckpt_mlm_s43_token,False,7,25%,0.5964514643906931,0.6784346253369413,0.4322111500134662,0.6990053108367372,0.6554807661041199,0.7087555545687935,0.03556009810994221,150
linear,ckpt_clm_s43,True,7,25%,0.6132136912945944,0.7050266702583863,0.4755016586002502,0.7466982944465074,0.6638406940063092,0.7241682590578749,0.024704641201862516,150
linear,ckpt_mlm_s44_token,False,7,25%,0.5941295188188224,0.6760847703838062,0.4328099621007038,0.6985940465507282,0.6598925635881173,0.7099805849807024,0.03584338302623481,150
linear,ckpt_clm_s44,True,7,25%,0.6206172124022022,0.7094096183522364,0.4733494187321781,0.7482759378739119,0.6643317731007168,0.7270327244307406,0.03383319325845617,150
mlp,ckpt_mlm_s42_token,False,7,25%,0.5847991079457574,0.6716505684810072,0.4298738876453568,0.6921859334385444,0.6479342144688218,0.7056856382630425,0.02812781603614599,150
mlp,ckpt_clm_s42,True,7,25%,0.6290835924638741,0.7286295312457842,0.48719646799117,0.7637896507663902,0.6708294441404615,0.7261968481038401,0.02561595199109903,150
mlp,ckpt_mlm_s43_token,False,7,25%,0.5806780525108336,0.6717928062325328,0.43083976294308396,0.6934305858553038,0.6520621073532763,0.7042685340965866,0.03556009810994221,150
mlp,ckpt_clm_s43,True,7,25%,0.6182222222222222,0.7166197269828947,0.46725735818311437,0.752120808319924,0.6640774142584425,0.7247098289286074,0.024704641201862516,150
mlp,ckpt_mlm_s44_token,False,7,25%,0.5828867388411323,0.6694735251392807,0.4315658343714456,0.6919572896037052,0.6553970425379454,0.706491818576604,0.03584338302623481,150
mlp,ckpt_clm_s44,True,7,25%,0.6107372285102478,0.7211361678035126,0.47459615077037903,0.7529801220757519,0.6662965382103201,0.7239197200010452,0.03383319325845617,150
linear,ckpt_mlm_s42_token,False,11,38%,0.5935058418751344,0.6808493618895346,0.4327690833599489,0.7021257078536949,0.6598198665197953,0.7117247420655605,0.02359222067377382,150
linear,ckpt_clm_s42,True,11,38%,0.6480310593455352,0.7529914273081513,0.5196964624483874,0.798239629749969,0.6734460321093418,0.7374686812758396,0.03071318133594205,150
linear,ckpt_mlm_s43_token,False,11,38%,0.5990122210606006,0.6878648735920705,0.43414765100671143,0.6997006513801214,0.6616336713864498,0.7136647166377011,0.03881814068768203,150
linear,ckpt_clm_s43,True,11,38%,0.6466393230610058,0.7511688240193779,0.5190728846690869,0.7972238339109625,0.6733674944159769,0.7373802907860249,0.02873280002678368,150
linear,ckpt_mlm_s44_token,False,11,38%,0.5927299967894981,0.677276891984692,0.43757330205778866,0.7018956360626315,0.6600777705767984,0.7113923711268109,0.03499088365064015,150
linear,ckpt_clm_s44,True,11,38%,0.6442525113985988,0.747833294456886,0.5101232155457852,0.7911606092957051,0.6724605482405985,0.7357566242993587,0.03296623588225152,150
mlp,ckpt_mlm_s42_token,False,11,38%,0.5872185911401597,0.6762894570555965,0.43299780689422485,0.6957567877882989,0.6558619788262973,0.7070694648051836,0.02359222067377382,150
mlp,ckpt_clm_s42,True,11,38%,0.6486466023092939,0.7588225658629397,0.5124834290764472,0.7924742129801543,0.6730023273855702,0.7344748576711742,0.03071318133594205,150
mlp,ckpt_mlm_s43_token,False,11,38%,0.6012526096033403,0.6828175516715858,0.4238875878220141,0.6884505933593266,0.6591456947256774,0.7070788166708883,0.03881814068768203,150
mlp,ckpt_clm_s43,True,11,38%,0.643370070273799,0.7570072693154293,0.5144089629141454,0.7868751837325164,0.6737496760818865,0.7351710149059352,0.02873280002678368,150
mlp,ckpt_mlm_s44_token,False,11,38%,0.5796974347730761,0.6700060055407642,0.42832848757474357,0.6906162453067624,0.6597195169458512,0.7118318021558885,0.03499088365064015,150
mlp,ckpt_clm_s44,True,11,38%,0.641667927955199,0.7504904546716579,0.5067078364565588,0.7895522954315715,0.6744171026286895,0.7356381794217896,0.03296623588225152,150
