feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.42630082,0.109771386,0.10205078,0.067193985,0.32425004,0.0425774
1,0.25538164,0.040680192,0.07147688,0.047829736,0.18390477,-0.0071495436
2,0.31734282,0.04374251,0.049133725,0.03486657,0.2682091,0.00887594
3,0.45417017,0.023469852,0.06833057,0.033945076,0.38583958,-0.010475224
4,0.1322312,0.03126982,0.028852526,0.022773033,0.10337868,0.008496786
5,0.29808593,0.057820685,0.08734675,0.06439059,0.21073918,-0.006569907
6,0.27175292,0.050685756,0.07589693,0.043878786,0.19585599,0.0068069696
7,0.53480154,0.023013242,0.062260162,0.04246373,0.4725414,-0.01945049
8,0.42210937,0.08173382,0.069085,0.050572086,0.35302436,0.031161737
9,0.29341415,0.031625167,0.06626268,0.036698967,0.22715147,-0.0050738007
10,0.15801659,0.02588353,0.034085356,0.025505194,0.12393124,0.0003783349
11,0.43207553,0.057147972,0.049869113,0.03610487,0.3822064,0.021043103
12,0.38072398,0.05427416,0.064432286,0.04662045,0.3162917,0.0076537095
13,0.4830296,0.08742384,0.1282458,0.089754276,0.3547838,-0.0023304373
14,0.25489947,0.032926463,0.04738689,0.028719213,0.20751259,0.0042072497
15,0.36456218,0.02555646,0.048935406,0.037546474,0.31562677,-0.011990014
16,0.3427893,0.056874525,0.069356546,0.04241525,0.27343273,0.014459275
17,0.37416744,0.0769732,0.054360777,0.03847756,0.31980667,0.03849564
18,0.435385,0.07530647,0.08393571,0.06355702,0.35144928,0.011749446
19,0.34651032,0.038884975,0.05736623,0.041926656,0.2891441,-0.003041681
20,0.5548372,0.024191204,0.085257985,0.052223034,0.46957925,-0.02803183
21,0.36493984,0.046261366,0.0565056,0.050078094,0.30843425,-0.0038167275
22,0.4426151,0.054014515,0.08893372,0.051047586,0.3536814,0.0029669292
23,0.28179848,0.012728245,0.022800071,0.019447614,0.25899842,-0.0067193685
24,0.37892753,0.10388318,0.08763288,0.066380806,0.29129463,0.03750237
25,0.30810514,0.035017878,0.05199202,0.04234296,0.2561131,-0.007325083
26,0.61016876,0.086319424,0.1136262,0.074763305,0.49654257,0.011556119
27,0.14128253,0.040391974,0.025382886,0.016950727,0.115899645,0.023441248
28,0.57597864,0.084554754,0.13406117,0.09548189,0.44191748,-0.010927133
29,0.38772094,0.048687864,0.05267244,0.03872502,0.3350485,0.009962846
30,0.24113956,0.11066987,0.07361909,0.05746708,0.16752046,0.053202793
31,0.29276225,0.054547403,0.061278265,0.04670135,0.23148398,0.007846054
32,0.36883423,0.028527413,0.049368102,0.042002633,0.3194661,-0.013475221
33,0.37319311,0.025220301,0.050114922,0.031900223,0.3230782,-0.0066799223
34,0.42799237,0.043256894,0.06900582,0.04747706,0.35898656,-0.0042201653
35,0.4334726,0.030121103,0.051464967,0.027928943,0.38200763,0.00219216
36,0.43276453,0.05184344,0.075357385,0.056062806,0.35740715,-0.004219368
