feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.10046225,-0.0036070603,0.061402667,0.032975033,0.039059583,-0.036582094
1,0.01089474,0.028033877,0.017850852,0.014259453,-0.0069561116,0.013774424
2,0.32123107,0.121816374,0.22290385,0.1473344,0.09832722,-0.025518022
3,0.67920285,0.13797207,0.2265732,0.1785594,0.45262966,-0.04058732
4,0.67960924,0.16380528,0.2582031,0.16034836,0.42140615,0.0034569204
5,0.08546414,0.030930858,0.057700712,0.03516737,0.02776343,-0.004236512
6,0.6663679,0.19993046,0.21082518,0.15965347,0.4555427,0.04027699
7,0.76432294,0.22213267,0.32647818,0.24605815,0.43784475,-0.023925483
8,0.70144945,0.25651675,0.37649924,0.2662523,0.32495022,-0.009735554
9,0.023761243,-0.0129914805,0.04843845,0.033418007,-0.024677206,-0.046409488
10,0.18134579,0.049086,0.098883815,0.05642919,0.082461976,-0.007343188
11,0.17174296,-0.007755911,0.0862512,0.051209874,0.08549176,-0.058965787
12,0.8018327,0.24919774,0.32219437,0.24530955,0.4796383,0.0038881898
13,0.7868173,0.099038735,0.17705615,0.122713566,0.6097612,-0.02367483
14,0.14203493,-0.011427346,0.03408297,0.028391164,0.10795196,-0.03981851
15,0.12834837,0.174354,0.05950778,0.04573853,0.068840586,0.12861547
16,0.8415923,0.14808112,0.2832799,0.16471842,0.5583124,-0.016637295
17,0.7629551,0.23026367,0.28752443,0.20476742,0.4754307,0.025496244
18,0.95032495,0.284186,0.3205483,0.22282581,0.62977666,0.061360195
19,0.16475102,0.056939084,0.04550135,0.029175926,0.11924967,0.027763158
20,0.15485972,0.058011107,0.102158174,0.07269339,0.052701548,-0.0146822855
21,0.06480904,-0.018817492,0.05741631,0.036266983,0.0073927306,-0.055084474
22,0.84829265,0.32091144,0.4809549,0.31847256,0.36733776,0.002438873
23,0.74629176,0.16949911,0.15667197,0.10611822,0.58961976,0.0633809
24,0.44444922,0.13098271,0.21944158,0.14250493,0.22500764,-0.011522219
25,0.71719664,0.28841397,0.35914603,0.27038768,0.3580506,0.018026292
26,0.0037062038,0.011595571,0.03475943,0.02168281,-0.031053225,-0.010087239
27,0.18643858,0.07865762,0.082166195,0.060156517,0.10427238,0.018501103
28,0.33471328,0.14434265,0.16942458,0.13602005,0.1652887,0.008322597
29,0.87798715,0.23554885,0.34921062,0.23417969,0.5287765,0.0013691634
30,0.15409628,0.054305054,0.06485488,0.035951108,0.08924139,0.018353947
31,0.18014297,0.093534976,0.050303124,0.037767034,0.12983984,0.055767942
32,0.53174454,0.16048948,0.18151183,0.13205759,0.35023272,0.028431892
33,0.6877782,0.2795285,0.37280807,0.2598378,0.3149701,0.019690692
34,0.9928081,0.26732302,0.4483202,0.29341188,0.5444879,-0.026088864
35,0.580188,0.14461547,0.16009127,0.1173598,0.4200967,0.02725567
36,0.843006,0.21195266,0.257471,0.19297661,0.58553505,0.018976048
37,0.8915169,0.20842956,0.30782905,0.20273843,0.5836879,0.005691126
38,0.44500998,0.16371804,0.18992144,0.1492217,0.25508854,0.014496341
39,0.7457743,0.17494114,0.2159621,0.15237929,0.5298122,0.022561848
40,0.0898671,0.029977694,0.07107703,0.044531703,0.018790074,-0.014554009
41,0.6837907,0.31289956,0.40444607,0.30382603,0.27934462,0.009073526
42,0.13260548,0.1012772,0.094429836,0.06796031,0.038175642,0.033316895
43,1.1024584,0.3273608,0.47501975,0.3394887,0.6274386,-0.012127876
44,0.7806268,0.3922506,0.492983,0.35069883,0.28764376,0.04155177
45,0.06431596,0.03291241,0.023074485,0.018801535,0.041241474,0.014110876
46,0.7591676,0.30817127,0.4802897,0.3172269,0.2788779,-0.0090556145
47,0.66273904,0.13666373,0.19383608,0.14702176,0.46890295,-0.010358021
48,0.84947056,0.27344733,0.34389773,0.2555439,0.5055728,0.017903447
49,0.6182973,0.16392106,0.19539289,0.12959939,0.42290437,0.034321666
50,0.08525828,0.07901178,0.061352648,0.050770562,0.023905635,0.02824122
51,0.8386074,0.30370262,0.36481202,0.2536884,0.47379535,0.050014228
52,0.7763717,0.16719557,0.2602199,0.16061254,0.5161518,0.006583035
53,0.9627145,0.20877121,0.278918,0.17964272,0.6837965,0.029128492
54,0.39117196,0.12580104,0.20322397,0.13489607,0.18794799,-0.009095028
55,0.38257056,0.11328793,0.14619786,0.0950351,0.23637271,0.018252835
56,0.09598405,-0.00302997,0.056237675,0.033137746,0.039746374,-0.036167715
57,0.102648176,0.030414905,0.02310039,0.017517708,0.079547785,0.012897197
58,0.16028203,0.04209272,0.057704277,0.03832641,0.10257775,0.0037663095
59,0.4583622,0.15484764,0.24001522,0.15230107,0.21834697,0.0025465637
60,0.7088672,0.2797279,0.30895215,0.22999921,0.39991504,0.04972869
61,0.06503982,0.07670993,0.026826944,0.02479515,0.038212877,0.05191478
62,0.73427194,0.11008205,0.18907285,0.13768539,0.5451991,-0.027603336
63,0.000298761,0.031313296,0.034893405,0.023804592,-0.034594644,0.0075087044
64,0.7433921,0.22172688,0.33333212,0.22322974,0.41006,-0.0015028566
65,0.13378963,0.040825598,0.035216518,0.024914077,0.09857311,0.015911521
66,0.7026628,0.2318612,0.30169576,0.23410913,0.40096706,-0.0022479296
67,0.027191106,0.026111163,0.028323572,0.01663829,-0.0011324659,0.009472873
68,0.7636326,0.21981123,0.29048282,0.19310501,0.47314978,0.026706219
69,0.36770672,0.085798614,0.1118222,0.08299305,0.25588453,0.0028055608
70,-0.017234245,0.10983354,0.009651749,0.00301396,-0.026885994,0.10681958
71,0.9422695,0.24816798,0.37772742,0.2546769,0.56454206,-0.0065089315
72,1.016435,0.3066888,0.3744217,0.25766176,0.6420133,0.049027026
73,-0.0040402845,0.04315287,0.0043906774,0.0032400626,-0.0084309615,0.039912805
74,0.11732083,0.04828294,0.08441663,0.05801506,0.0329042,-0.00973212
75,0.09472142,0.04806884,0.073011875,0.056885213,0.021709546,-0.008816373
76,0.666516,0.23739333,0.27225667,0.19921005,0.39425933,0.038183287
77,0.67236954,0.13986015,0.1551731,0.10605274,0.5171964,0.03380741
78,0.36398622,0.121311635,0.1408183,0.092880234,0.22316793,0.0284314
79,0.53187037,0.17019433,0.27255633,0.191834,0.25931403,-0.021639675
80,1.054705,0.3528869,0.56193787,0.38337764,0.49276716,-0.030490756
81,0.011885688,0.06818907,0.05307073,0.03477995,-0.041185044,0.03340912
82,0.41579852,0.2030381,0.18177284,0.1150228,0.23402567,0.088015296
83,0.7836121,0.24601328,0.31913584,0.21979713,0.46447623,0.02621615
84,0.19528753,0.11124785,0.05732864,0.04153672,0.13795888,0.069711134
85,0.086210914,0.16852303,0.10984713,0.07771949,-0.023636214,0.09080354
86,0.6438107,0.2198775,0.31675965,0.21048982,0.32705104,0.009387672
87,0.7783659,0.29665715,0.46308383,0.3147465,0.31528208,-0.018089354
88,0.31331453,0.22568676,0.11860327,0.08199,0.19471127,0.14369676
89,0.2890132,0.061417,0.09296289,0.06335871,0.19605032,-0.0019417107
90,0.02187305,0.040371183,0.029504085,0.018365776,-0.0076310355,0.022005407
91,0.05702233,0.038521044,0.029826775,0.027374078,0.027195554,0.011146966
92,0.036300402,0.14918712,0.05525282,0.042375345,-0.018952418,0.10681178
