rel_depth,layer_pair,cluster_level,model_a,model_b,preset,d_point,ci_low,ci_high,frac_pos,n_proteins_used,d_boot_mean,d_boot_sd,icc,design_effect,n_eff,n_clusters
0%,L0/L0,fold,ckpt_mlm_s42_token,ckpt_clm_s42,ctrl_esmc,0.011697894373887558,-0.02528515862745874,0.04438078566050681,0.736,1500,0.01090797001714307,0.0179507033095987,0.15167855702811842,1.3749830993195151,1090.9224998782577,432
0%,L0/L0,protein,ckpt_mlm_s42_token,ckpt_clm_s42,ctrl_esmc,0.011697894373887558,-0.026869546349830683,0.04160303749371659,0.714,1500,0.009332409174237829,0.01757680968335849,,,1500.0,1500
13%,L4/L4,fold,ckpt_mlm_s42_token,ckpt_clm_s42,ctrl_esmc,0.08256672002507318,0.020752680496646594,0.10959918707299073,0.999,1500,0.06643046802043966,0.022862053611211092,0.13094540303008173,1.3237261352688132,1133.1649047598432,432
13%,L4/L4,protein,ckpt_mlm_s42_token,ckpt_clm_s42,ctrl_esmc,0.08256672002507318,0.034053377024430016,0.1022926579334685,1.0,1500,0.06995972429978656,0.017435240164233885,,,1500.0,1500
25%,L7/L7,fold,ckpt_mlm_s42_token,ckpt_clm_s42,ctrl_esmc,0.322153067888405,0.19781043550528282,0.2979024857203843,1.0,1500,0.2531626538301352,0.026258308191848545,0.15199496276443142,1.3757653246120665,1090.3022289960425,432
25%,L7/L7,protein,ckpt_mlm_s42_token,ckpt_clm_s42,ctrl_esmc,0.322153067888405,0.2331641300090439,0.3115603348407873,1.0,1500,0.27442388482091323,0.02012117406313956,,,1500.0,1500
38%,L11/L11,fold,ckpt_mlm_s42_token,ckpt_clm_s42,ctrl_esmc,0.4035811879564889,0.29470994992658966,0.4039048286440987,1.0,1500,0.3518893399806554,0.027493393155415304,0.1471111181977763,1.3636913755445026,1099.9556255175928,432
38%,L11/L11,protein,ckpt_mlm_s42_token,ckpt_clm_s42,ctrl_esmc,0.4035811879564889,0.3297482856730899,0.40796870829595255,1.0,1500,0.3696695185407673,0.02071510391990935,,,1500.0,1500
50%,L14/L14,fold,ckpt_mlm_s42_token,ckpt_clm_s42,ctrl_esmc,0.4299005163896471,0.32839773027369473,0.4388276432684095,1.0,1500,0.3888305143555229,0.027796183149285305,0.23817766377289704,1.5888281132163287,944.0920559767096,432
50%,L14/L14,protein,ckpt_mlm_s42_token,ckpt_clm_s42,ctrl_esmc,0.4299005163896471,0.3641868428030586,0.4447688690828214,1.0,1500,0.4051733445034533,0.019901057156134654,,,1500.0,1500
63%,L18/L18,fold,ckpt_mlm_s42_token,ckpt_clm_s42,ctrl_esmc,0.2905895585685383,0.19285675239060157,0.3409013361769613,1.0,1500,0.2693740525000327,0.037098134057109544,0.40891917658462557,2.0109390754453242,745.9201615383716,432
63%,L18/L18,protein,ckpt_mlm_s42_token,ckpt_clm_s42,ctrl_esmc,0.2905895585685383,0.23366570806244868,0.32398690549791187,1.0,1500,0.27967683365664986,0.023316513023839306,,,1500.0,1500
75%,L22/L22,fold,ckpt_mlm_s42_token,ckpt_clm_s42,ctrl_esmc,0.20404521754043245,0.07642864899541156,0.3075130723031091,0.999,1500,0.18986626751834546,0.05811624887052083,0.5078426038567542,2.255499770645865,665.0410784881053,432
75%,L22/L22,protein,ckpt_mlm_s42_token,ckpt_clm_s42,ctrl_esmc,0.20404521754043245,0.14198318153234465,0.2539474263323905,1.0,1500,0.19778799718364076,0.028608207702621076,,,1500.0,1500
88%,L26/L26,fold,ckpt_mlm_s42_token,ckpt_clm_s42,ctrl_esmc,0.2954136120519568,0.1588418791849881,0.3863769731956735,1.0,1500,0.27653929222453166,0.05790613772616834,0.580610975572858,2.4353993562773435,615.9154128597789,432
88%,L26/L26,protein,ckpt_mlm_s42_token,ckpt_clm_s42,ctrl_esmc,0.2954136120519568,0.23110192468096544,0.34087237885636695,1.0,1500,0.28763814541173677,0.027778590289830186,,,1500.0,1500
100%,L29/L29,fold,ckpt_mlm_s42_token,ckpt_clm_s42,ctrl_esmc,0.383697735673716,0.2609308906842456,0.4631797991522686,1.0,1500,0.3646619791212309,0.05082526341313567,0.6189963413664777,2.5302965106004587,592.8158987359305,432
100%,L29/L29,protein,ckpt_mlm_s42_token,ckpt_clm_s42,ctrl_esmc,0.383697735673716,0.3270504565368266,0.42027703614242734,1.0,1500,0.3758485496089253,0.023120352938236045,,,1500.0,1500
