feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.5730954,0.108472556,0.12458249,0.09187906,0.44851288,0.016593494
1,0.57217777,0.050865266,0.08803336,0.06356627,0.4841444,-0.012701001
2,0.50311494,0.07840186,0.09634653,0.07147176,0.4067684,0.0069301054
3,0.52318555,0.12851748,0.13894866,0.107188135,0.38423687,0.021329343
4,0.34389374,0.05176696,0.11094032,0.082685255,0.23295341,-0.030918293
5,0.40698576,0.06529207,0.0778965,0.05261666,0.32908925,0.012675408
6,0.60030085,0.05487356,0.07452804,0.051070437,0.5257728,0.0038031228
7,0.42417657,0.057948597,0.08208962,0.061532434,0.34208697,-0.0035838373
8,0.5155135,0.06081297,0.104036264,0.07813623,0.4114772,-0.01732326
9,0.14801511,0.028858485,0.038435586,0.024317198,0.109579526,0.004541287
10,0.5564086,0.09363151,0.1095452,0.0761532,0.44686338,0.017478317
11,0.47619227,0.097782455,0.10739574,0.08146681,0.36879653,0.016315646
12,0.8280793,0.03165551,0.079371154,0.0534258,0.7487081,-0.021770291
13,0.47102353,0.10236107,0.12234293,0.08973619,0.34868062,0.012624875
14,0.37270474,0.057192825,0.07798447,0.06003284,0.2947203,-0.002840016
15,0.62388647,0.12726867,0.13983607,0.10107395,0.4840504,0.026194721
16,0.6284984,0.15359572,0.21500506,0.16268165,0.41349334,-0.009085938
17,0.35038045,0.04636706,0.08050274,0.058063388,0.2698777,-0.0116963275
18,0.47315127,0.0350727,0.08813229,0.056399617,0.38501897,-0.021326918
19,0.5313776,0.11004704,0.12826031,0.10369365,0.4031173,0.006353393
20,0.56378764,0.0396439,0.10130575,0.07496889,0.4624819,-0.03532499
21,0.50964284,0.098261714,0.10694948,0.081448466,0.40269336,0.016813248
22,0.4686853,0.069327675,0.10673516,0.07224506,0.36195013,-0.0029173866
23,0.5665112,0.06747682,0.099470526,0.054190043,0.4670407,0.013286773
24,0.4622937,0.04082175,0.0701951,0.050714325,0.3920986,-0.009892575
25,0.5175003,0.071156725,0.09960488,0.06949742,0.4178954,0.0016593039
26,0.39583695,0.052724488,0.112039365,0.07562273,0.2837976,-0.022898242
27,0.53228515,0.10587082,0.13900623,0.08814758,0.39327893,0.01772324
28,0.51814026,0.069843,0.05502574,0.036261808,0.4631145,0.033581194
29,0.5575806,0.13517512,0.13872519,0.09994564,0.4188554,0.03522948
30,0.39289367,0.04951797,0.08619468,0.054769717,0.30669898,-0.0052517466
31,0.25471008,0.032697994,0.06456991,0.04233882,0.19014016,-0.009640824
32,0.579776,0.08153019,0.13063586,0.095812395,0.44914013,-0.014282204
33,0.57549363,0.031078923,0.061395764,0.041480485,0.51409787,-0.010401562
34,0.41029546,0.038780976,0.063575596,0.04788658,0.34671986,-0.009105604
35,0.45450696,0.08522186,0.101699546,0.06899681,0.3528074,0.016225047
36,0.61435527,0.16277122,0.17567894,0.13167082,0.43867633,0.031100407
37,0.5646192,0.06310885,0.110114224,0.077556215,0.45450497,-0.014447369
38,0.5891506,0.043205943,0.068632305,0.045609538,0.5205183,-0.0024035946
39,0.41674095,0.06198331,0.09830423,0.067498416,0.31843674,-0.005515106
40,0.43086588,0.030015677,0.037751332,0.02557567,0.39311457,0.0044400077
41,0.5863393,0.06739898,0.10611998,0.07173389,0.4802193,-0.0043349117
