feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.42159542,0.09670297,0.25496083,0.17275327,0.16663459,-0.076050304
1,0.94712824,0.20485601,0.27954707,0.17966682,0.6675812,0.025189191
2,0.12719685,0.07966073,0.11224914,0.07017705,0.014947705,0.00948368
3,0.56733584,0.068640254,0.12867337,0.09907719,0.43866247,-0.030436933
4,0.07136059,0.04310349,0.02857463,0.01803249,0.042785957,0.025071
5,0.11748216,0.0021194094,0.059348192,0.043915626,0.05813397,-0.041796215
6,0.2765927,0.08659362,0.059257876,0.041012622,0.21733482,0.045580998
7,0.11825573,0.1156213,0.05330076,0.037155725,0.06495497,0.07846557
8,0.92091143,0.22122219,0.31448114,0.24530852,0.6064303,-0.024086326
9,0.3290687,0.08454626,0.11247566,0.07978825,0.21659303,0.004758008
10,0.34105623,0.11845976,0.14336926,0.09269436,0.19768697,0.025765404
11,-0.0126342885,0.12452648,0.015869608,0.007876551,-0.028503897,0.116649926
12,0.78831136,0.16834605,0.24075025,0.17377949,0.5475611,-0.00543344
13,1.0853261,0.224265,0.3126401,0.22436723,0.772686,-0.00010223687
14,0.36035368,0.10376358,0.10011398,0.07534825,0.2602397,0.02841533
15,0.43883052,0.17713286,0.23989855,0.16442727,0.19893198,0.012705594
16,0.8439064,0.22928195,0.25464037,0.19083507,0.58926606,0.038446873
17,0.18371882,0.042019986,0.056681953,0.03957652,0.12703687,0.0024434663
18,0.746469,0.2919149,0.4105058,0.27297986,0.33596322,0.018935055
19,0.8221363,0.33763087,0.39341414,0.2897126,0.42872214,0.04791826
20,0.12446966,0.026631115,0.033679515,0.019911356,0.090790145,0.0067197587
21,0.57638276,0.27504048,0.2283716,0.17309889,0.34801114,0.101941586
22,1.1430743,0.29637793,0.40396965,0.2863474,0.7391046,0.010030538
23,0.3064638,0.08377637,0.15278646,0.09436839,0.15367734,-0.010592021
24,1.0223585,0.24556,0.38465744,0.24150118,0.6377011,0.004058823
25,0.9817062,0.28369242,0.32218608,0.2194735,0.65952015,0.06421892
26,1.0259675,0.16500595,0.27812234,0.19186403,0.7478452,-0.026858076
27,0.9362051,0.25664875,0.32412392,0.21194008,0.61208117,0.04470867
28,0.24916756,0.09013504,0.14766796,0.0721759,0.1014996,0.01795914
29,0.9769927,0.47104436,0.544298,0.34950376,0.43269473,0.121540606
30,0.7699926,0.21213865,0.28403068,0.19409949,0.4859619,0.018039167
31,0.098944165,-0.0068144808,0.051778812,0.033942144,0.047165353,-0.040756624
32,0.10333795,0.08298227,0.08363542,0.056371108,0.019702531,0.026611164
33,0.14390804,0.030562183,0.039894205,0.030468285,0.10401383,9.3897805e-05
34,0.5030213,0.13673855,0.19371122,0.13612945,0.30931008,0.00060909986
35,0.34638333,0.057215042,0.07861338,0.059139047,0.26776996,-0.0019240044
36,1.2796046,0.47306752,0.6684484,0.4839826,0.61115617,-0.010915071
